Zip	City Set	StateSet	CorrectState
58225	[drayton, bowesmont]	[MN, ND]	ND
66518	[oketo]	[KS, NE]	KS
72616	[metalton, urbanette, berryville, rudd, grandview]	[AR, MO]	AR
72644	[lead hill, diamond city]	[AR, MO]	AR
99362	[walla walla]	[WA, OR]	WA
74902	[pocola]	[OK, AR]	OK
97910	[danner, burns junction, rome, south mtn, jordan valley, south mountain]	[ID, OR]	OR
81137	[allison, s ute indian, southern ute indian reservat, oxford, indian agency, so ute indian res, ignacio, tiffany]	[NM, CO]	CO
85534	[virden, duncan]	[NM, AZ]	AZ
40965	[middlesboro, middlesborough]	[TN, KY]	KY
30165	[rome]	[GA, AL]	GA
69343	[gordon, clinton]	[SD, NE]	NE
69337	[chadron]	[SD, NE]	NE
69212	[crookston]	[SD, NE]	NE
69216	[kilgore]	[SD, NE]	NE
69201	[eli, valentine]	[SD, NE]	NE
83856	[priest river, priest lake]	[WA, ID]	ID
97635	[new pine crk, new pine creek]	[CA, OR]	CA
79835	[canutillo]	[NM, TX]	TX
83342	[elba, malta]	[UT, ID]	ID
83114	[cokeville, raymond]	[ID, WY]	WY
83120	[freedom]	[ID, WY]	WY
69128	[bushnell]	[CO, NE]	NE
69145	[kimball]	[CO, NE]	NE
69026	[danbury]	[KS, NE]	NE
69044	[trenton]	[KS, NE]	NE
79932	[el paso]	[NM, TX]	TX
79922	[el paso]	[NM, TX]	TX
88240	[hobbs, oil center]	[NM, TX]	NM
71937	[cove, hatton]	[OK, AR]	AR
71953	[menos, dallas, rocky, mountain fork, big fork, ink, acorn, mena, potter, nunley, potter junction, black fork, yocana]	[OK, AR]	AR
57724	[sky ranch, gustave, camp crook]	[SD, MT]	SD
57735	[lauzen, burdock, provo, edgemont, dewey, ardmore]	[SD, NE]	SD
42223	[fort campbell]	[TN, KY]	KY
57717	[willet, mason, belle fourche, fruitdale]	[SD, WY, MT]	South
20041	[washington, dulles international airport, dulles international airp]	[VA, DC]	VA
57270	[veblen, hillhead]	[SD, ND]	SD
42602	[browns crossroads, static, highway, albany, seventy six, snow, browns xroads, aaron, seminary]	[TN, KY]	KY
20135	[mount weather, bluemont]	[VA, WV]	VA
57430	[kidder, britton, sunset colony, newark, spain]	[SD, ND]	SD
57437	[hills, greenway, eureka, hillsview, artas]	[SD, ND]	SD
57457	[long lake, longlake]	[SD, ND]	SD
57441	[elm lake, frederick]	[SD, ND]	SD
57446	[hecla]	[SD, ND]	SD
51640	[hamburg]	[MO, IA]	IA
57533	[gregory, carlock, dixon, iona]	[SD, NE]	SD
57523	[burke, lucas]	[SD, NE]	SD
26034	[chester]	[WV, PA]	WV
51557	[mondamin]	[IA, NE]	IA
57632	[herreid]	[SD, ND]	SD
57638	[white butte, shadehill, thunder hawk, lemmon]	[SD, ND]	SD
57645	[morristown]	[SD, ND]	SD
57642	[mc laughlin, mclaughlin, maple leaf, kenel]	[SD, ND]	SD
57641	[mcintosh, mc intosh]	[SD, ND]	SD
57648	[pollock]	[SD, ND]	SD
59008	[belfry]	[WY, MT]	MT
86044	[tonalea, red lake]	[UT, AZ]	AZ
14724	[clymer]	[NY, PA]	NY
71069	[rodessa, zylks]	[LA, AR]	LA
14871	[pine city]	[NY, PA]	NY
59221	[fairview]	[ND, MT]	MT
59270	[sidney]	[ND, MT]	MT
57068	[valley springs, valley spgs, ben claire]	[SD, MN]	SD
57034	[moe, norway center, hudson]	[SD, IA]	SD
57026	[ward, elkton]	[SD, MN]	SD
57005	[corson, brandon, rowena]	[SD, IA]	SD
59314	[biddle]	[WY, MT]	MT
59311	[alzada]	[WY, MT]	MT
65761	[longrun, theodosia, dugginsville, ocie]	[AR, MO]	MO
65739	[ridgedale]	[AR, MO]	MO
67756	[st francis, saint francis, wheeler]	[CO, KS]	KS
51023	[hawarden]	[SD, IA]	IA
03579	[wntwrths lctn, wentworths location, errol]	[NH, ME]	NH
03813	[south chatham, center conway, north chatham, chatham]	[NH, ME]	NH
71277	[spearsville, mount union, lockhart]	[LA, AR]	LA
28112	[monroe]	[SC, NC]	NC
30559	[mineral bluff]	[GA, TN, NC]	GA
30555	[mccaysville, mc caysville, fry]	[GA, TN]	GA
67622	[almena]	[KS, NE]	KS
59847	[lolo]	[ID, MT]	MT
68719	[bristow]	[SD, NE]	NE
58653	[haley, scranton, gascoyne]	[SD, ND]	ND
50065	[davis city, pleasanton]	[MO, IA]	IA
56136	[hendricks]	[SD, MN]	MN
58030	[fairmount]	[MN, ND]	ND
58413	[venturia, nelvik, ashley, danzig]	[SD, ND]	ND
52573	[keosauqua, cantril, mount sterling, mt sterling]	[MO, IA]	IA
69168	[venango]	[CO, NE]	NE
57260	[rosholt, victor, white rock]	[SD, ND]	SD
51630	[blanchard]	[MO, IA]	IA
57660	[watauga]	[SD, ND]	SD
59275	[westby]	[ND, MT]	MT
57030	[sherman, palisade, garretson]	[SD, MN]	SD
63535	[coatsville, chariton]	[MO, IA]	MO
51001	[ruble, akron]	[SD, IA]	IA
71256	[junction city, lillie]	[LA, AR]	AR
